Pilot,Age,Gender,PSS,JSS,MFI,GF,PF,RA,RM,MF
yes,21,male,0.464285714,0.4,0.53,0.65,0.75,0.65,0.5,0.1
yes,19,female,0.410714286,0.5,0.568421053,0.5,0.933333,0.8,0.45,0.25
yes,21,male,0.357142857,0.25,0.54,0.55,0.35,0.6,0.4,0.8
yes,19,male,0.160714286,0.0,0.5,0.55,0.45,0.45,0.5,0.55
yes,18,female,0.392857143,0.3,0.42,0.3,0.4,0.6,0.5,0.3
yes,20,male,0.428571429,0.3,0.59,0.6,0.7,0.5,0.6,0.55
yes,19,female,0.375,0.3,0.547368421,0.533333333,0.5,0.65,0.5,0.55
yes,18,female,0.464285714,0.5,0.55,0.55,0.7,0.55,0.55,0.4
yes,20,female,0.321428571,0.2,0.57,0.5,0.55,0.55,0.6,0.65
yes,18,male,0.285714286,0.0,0.53,0.75,0.65,0.35,0.45,0.45
yes,20,male,0.446428571,0.55,0.35,0.25,0.45,0.55,0.35,0.15
yes,18,male,0.392857143,0.15,0.46,0.45,0.2,0.6,0.55,0.5
yes,19,female,0.482142857,0.4,0.32,0.25,0.45,0.2,0.25,0.45
yes,26,male,0.25,0.2,0.67,0.65,0.7,0.7,0.65,0.65
yes,19,male,0.464285714,0.4,0.57,0.55,0.65,0.7,0.65,0.3
yes,18,male,0.339285714,0.3,0.588235294,0.5,0.8,0.733333,0.533333,0.45
yes,28,male,0.625,0.15,0.29,0.15,0.45,0.2,0.3,0.35
yes,21,male,0.642857143,0.4,0.3,0.1,0.2,0.5,0.4,0.3
yes,21,female,0.857142857,0.55,0.25,0.05,0.3,0.3,0.25,0.35
yes,19,male,0.214285714,0.2,0.613333333,0.6,1.0,0.333333,0.4,0.733333
yes,20,male,0.464285714,0.1,0.55,0.5,1.0,0.733333,0.45,0.45
yes,23,female,0.375,0.6,0.43,0.15,0.35,0.6,0.55,0.5
yes,21,male,0.428571429,0.25,0.58,0.5,0.65,0.45,0.6,0.7
yes,18,male,0.321428571,0.2,0.77,0.85,0.8,0.85,0.6,0.75
yes,18,male,0.214285714,0.2,0.68,0.6,0.8,0.7,0.6,0.7
yes,19,female,0.625,1.0,0.5,0.45,0.55,0.7,0.4,0.4
yes,20,male,0.339285714,0.2,0.626666667,0.45,0.933333,0.733333,0.533333,0.5
yes,21,male,0.25,0.2,0.58,0.55,0.7,0.7,0.5,0.45
no,19,female,0.5,0.0,0.49,0.45,0.55,0.45,0.5,0.5
no,20,male,0.696428571,0.7,0.28,0.35,0.2,0.1,0.35,0.4
no,18,female,0.535714286,0.9,0.44,0.3,0.55,0.6,0.45,0.3
no,21,female,0.660714286,0.3,0.33,0.15,0.45,0.6,0.2,0.25
no,20,female,0.5,0.05,0.61,0.65,0.5,0.65,0.7,0.55
no,19,male,0.25,0.25,0.62,0.6,0.8,0.65,0.35,0.7
no,18,female,0.607142857,0.4,0.41,0.25,0.35,0.5,0.6,0.35
no,20,female,0.642857143,0.95,0.46,0.45,0.6,0.45,0.45,0.35
no,21,female,0.392857143,0.0,0.66,0.7,0.7,0.6,0.6,0.7
no,18,female,0.642857143,0.55,0.33,0.25,0.35,0.45,0.35,0.25
no,18,female,0.392857143,0.65,0.46,0.35,0.7,0.7,0.4,0.15
no,18,female,0.625,0.6,0.3,0.2,0.2,0.2,0.45,0.45
no,20,male,0.357142857,0.5,0.51,0.35,0.55,0.7,0.5,0.45
no,18,male,0.714285714,0.8,0.473684211,0.4,0.533333,0.35,0.55,0.55
no,19,female,0.75,0.95,0.38,0.4,0.3,0.6,0.4,0.2
no,19,female,0.446428571,0.5,0.32,0.3,0.3,0.4,0.3,0.3
no,18,female,0.571428571,0.0,0.36,0.25,0.3,0.4,0.4,0.45
no,21,female,0.285714286,0.2,0.68,0.6,0.8,0.75,0.65,0.6
no,19,male,0.625,0.7,0.55,0.55,0.55,0.6,0.55,0.5
